week,target_week,actual_esi,Naive Forecast,Moving Average 4 Minggu,Linear Regression,Ridge Regression,Random Forest,XGBoost,Ensemble Ridge-Random Forest
2025-07-27,2025-08-03,-1.8360807657844302,-0.7746677353324136,-1.165898608186217,-0.03421633786381714,-0.45740547334648207,-0.6658322045840687,-0.7000521421432495,-0.5616188389652754
2025-08-03,2025-08-10,-1.3453080666214265,-1.8360807657844302,-1.2370848476527043,-1.6134273158855854,-1.601977675589182,-1.1687833192742423,-1.6567243337631226,-1.385380497431712
2025-08-10,2025-08-17,-1.821454836082476,-1.3453080666214265,-1.3625126466940214,-0.7422333593218747,-1.2398331352690546,-0.9243670544705868,-0.6273813843727112,-1.0821000948698207
2025-08-17,2025-08-24,0.38960957069306973,-1.821454836082476,-1.4443778509551866,-0.5171058766408921,-1.0342130127074314,-1.1872614762314944,-1.2948527336120605,-1.1107372444694628
2025-08-24,2025-08-31,1.251307278227567,0.38960957069306973,-1.1533085244488157,-0.3644528660663119,-0.18496712765769308,-0.3660588822145415,-0.19234365224838257,-0.2755130049361173
2025-08-31,2025-09-07,0.24079037625122657,1.251307278227567,-0.38146151344581647,0.7895694975807427,0.5300491532106415,0.33906331999702655,0.33034300804138184,0.434556236603834
2025-09-07,2025-09-14,-0.9318338952580595,0.24079037625122657,0.015063097272346837,-0.9863201528235195,-0.817864151185978,0.022111665236400763,-0.077199287712574,-0.39787624297478863
2025-09-14,2025-09-21,0.0499801853603528,-0.9318338952580595,0.23746833247845095,-1.0882761722990046,-0.6457304835644074,-0.42373119877892246,-0.5430953502655029,-0.5347308411716649
2025-09-21,2025-09-28,-0.6376390190720521,0.0499801853603528,0.1525609861452717,-1.171653365431298,-1.2051519296832887,-0.48940051938569296,-0.335691899061203,-0.8472762245344908
2025-09-28,2025-10-05,0.48710046748882985,-0.6376390190720521,-0.31967558817963304,-0.6675841822886573,-0.7539374867855739,-0.32394128739638317,-0.754361093044281,-0.5389393870909785
2025-10-05,2025-10-12,-0.21267754646044484,0.48710046748882985,-0.2580980653702322,-0.16521379787082843,-0.5190630089180671,-0.1507625240127852,-0.32912522554397583,-0.33491276646542617
2025-10-12,2025-10-19,-0.6628843571243583,-0.21267754646044484,-0.07830897817082857,-0.2766190530808604,-0.3552694871623451,-0.32116848277927273,-0.7014481425285339,-0.33821898497080893
2025-10-19,2025-10-26,1.2777962140326549,-0.6628843571243583,-0.2565251137920064,0.62456030354896,0.6723864005583561,-0.26826156835357345,-0.9105006456375122,0.2020624161023913
2025-10-26,2025-11-02,0.5453454144930723,1.2777962140326549,0.2223336944841704,1.3299278967106718,1.3650457907447455,0.28205283485956956,0.7674596905708313,0.8235493128021576
2025-11-02,2025-11-09,-0.39799641977021044,0.5453454144930723,0.23689493123523098,-0.5413486281642059,-0.45043206550967513,-0.15106700828362984,-0.4697212874889374,-0.3007495368966525
2025-11-09,2025-11-16,-0.12806469984606741,-0.39799641977021044,0.1905652129077896,-0.4414265279089277,-0.6183407597091907,-0.32782207020393817,-0.5574564933776855,-0.4730814149565644
2025-11-16,2025-11-23,0.06931649099705806,-0.12806469984606741,0.3242701272273623,-0.4484943689315577,-0.21353684415667784,-0.42662424848078123,-0.6613413095474243,-0.3200805463187295
2025-11-23,2025-11-30,2.2183214988548507,0.06931649099705806,0.022150196468463113,-0.683384366709492,-0.8154489895937467,-0.1196139145307921,-0.3313716650009155,-0.46753145206226937
2025-11-30,2025-12-07,1.6872168638347123,2.2183214988548507,0.4403942175589078,0.14803906804328443,0.3485377254436654,0.8335316426649123,1.350860834121704,0.5910346840542888
2025-12-07,2025-12-14,-0.7668046855651349,1.6872168638347123,0.9616975384601383,0.5874314363686481,0.6916108124099416,0.8302592900074014,1.0717853307724,0.7609350512086714
2025-12-14,2025-12-21,-0.7739438370178179,-0.7668046855651349,0.8020125420303714,0.5627058810866815,0.42108521645475916,-0.12077863231078508,-0.14490047097206116,0.15015329207198705
2025-12-21,2025-12-28,0.29589811741789307,-0.7739438370178179,0.5911974600266525,0.37007667962460894,0.5426023754288833,-0.3004397359912772,-0.28977280855178833,0.12108131971880307
2025-12-28,2026-01-04,0.7165804298511943,0.29589811741789307,0.11059161466741313,0.579057666594428,0.6732171183755304,0.31146145764667454,0.33523625135421753,0.4923392880111025
2026-01-04,2026-01-11,0.029524870771419496,0.7165804298511943,-0.13206749382846636,0.73157124178734,0.2352900768994064,0.37798445426840177,0.4546123743057251,0.3066372655839041
2026-01-11,2026-01-18,0.9253409276005186,0.029524870771419496,0.06701489525567225,-0.13801970463748758,-0.27227187529432134,-0.10338131078070996,-0.4980509877204895,-0.18782659303751564
2026-01-18,2026-01-25,2.047310077447928,0.9253409276005186,0.49183608641025633,0.6637833781316791,0.7526647955178258,0.3295824600506811,0.5464658737182617,0.5411236277842535
2026-01-25,2026-02-01,1.7956824073960522,2.047310077447928,0.929689076417765,2.501856848061656,2.3735477587128817,1.1962322968880112,1.1235486268997192,1.7848900278004465
2026-02-01,2026-02-08,0.21492734629871488,1.7956824073960522,1.1994645708039797,0.8476596543399003,1.3701630013528796,0.7964933676405019,1.2420541048049927,1.0833281844966907
2026-02-08,2026-02-15,-0.3411657024221283,0.21492734629871488,1.2458151896858034,0.07259781185422048,0.5812708980116056,0.44393889125047387,0.5946944355964661,0.5126048946310398
2026-02-15,2026-02-22,0.7470671060853998,-0.3411657024221283,0.9291885321801416,-0.7174378826116699,-0.19666793193181908,-0.054124219020931306,0.13352517783641815,-0.12539607547637519
2026-02-22,2026-03-01,3.691251505759111,0.7470671060853998,0.6041277893395096,0.5955174317971099,0.7776191849539814,0.4969759676157896,0.8919739723205566,0.6372975762848855
2026-03-01,2026-03-08,4.024452905110599,3.691251505759111,1.0780200639302742,2.130342694017255,2.4015947667149886,2.371179080197651,1.8118778467178345,2.3863869234563198
2026-03-08,2026-03-15,3.205613382027738,4.024452905110599,2.0304014536332455,3.3480293574544056,3.4146657669885596,3.328079566572573,2.462575674057007,3.3713726667805664
2026-03-15,2026-03-22,2.667959466459636,3.205613382027738,2.9170962247457117,3.5040865066930906,3.619247988756816,3.3181947450451226,3.2913925647735596,3.4687213669009695
2026-03-22,2026-03-29,6.124887643180134,2.667959466459636,3.397319314839271,4.542995342450992,4.211319560807642,2.949998463995598,3.5777649879455566,3.58065901240162
2026-03-29,2026-04-05,3.1096329545333283,6.124887643180134,4.005728349194527,4.202566086456704,4.40317079756276,3.568272100534722,3.4916775226593018,3.985721449048741
2026-04-05,2026-04-12,5.683284051064483,3.1096329545333283,3.777023361550209,3.271816123277516,3.065429576896827,3.455776341495157,3.4442083835601807,3.260602959195992
2026-04-12,2026-04-19,5.4184468949574045,5.683284051064483,4.396441028809395,4.2148574320283085,3.8049937345631206,3.443384043004443,3.230346441268921,3.624188888783782
2026-04-19,2026-04-26,4.829254107972611,5.4184468949574045,5.084062885933838,4.707060176907249,4.7705310312945635,3.7264398517972284,3.563927412033081,4.2484854415458955
2026-04-26,2026-05-03,5.0178716096347085,4.829254107972611,4.7601545021319565,3.2125521490998596,3.706465201208748,3.7792893742899194,3.6019792556762695,3.7428772877493337
2026-05-03,2026-05-10,3.296914059769044,5.0178716096347085,5.237214165907302,5.27617079129014,5.315762070410553,4.03004829190078,4.358676433563232,4.6729051811556666
2026-05-10,2026-05-17,2.963138151212266,3.296914059769044,4.640621668083442,3.818428683501099,3.3690641502940704,3.8257857831165243,2.948498487472534,3.5974249667052973
