model,mae,rmse,r2,mae_improvement_vs_naive_pct
Ensemble Ridge-Random Forest,0.9770279619046555,1.224032063476708,0.6967335722565942,7.642569306854613
Ridge Regression,1.0049999414163515,1.243024065870854,0.6872496380190212,4.998407358750964
XGBoost,1.0226101923749802,1.2666295193304387,0.6752583765362548,3.3337287663084254
Random Forest,1.0154462477921762,1.2676983387745329,0.6747100921347995,4.01092895002274
Linear Regression,1.0462055115504736,1.2766031895018077,0.6701240929880531,1.103287939226
Naive Forecast,1.057876940244039,1.3495149819341659,0.631367036429177,0.0
Moving Average 4 Minggu,1.1030035547880062,1.3599360070952184,0.625651848823402,-4.26577164386974
