theme,low_rating_count,low_rating_share_pct,high_rating_count,high_rating_share_pct
Product does not work as expected,387,13.82,208,1.06
"Packaging, leakage, or damaged items",367,13.1,2099,10.7
Skin irritation or side effects,257,9.18,1767,9.01
Authenticity or mismatch concerns,172,6.14,911,4.64
Bad smell or overly strong fragrance,78,2.78,353,1.8
