variant,model,mae,rmse,r2
clip_gt_0.975,RF_Ridge_Blend_0.50,1.056860575796812,1.2970678066379338,0.7021365507871324
clip_gt_0.975,RF_Ridge_Blend_0.25,1.0484907994136214,1.2976647243467454,0.7018623309213825
clip_gt_0.975,RandomForest,1.056246373908093,1.318360090686523,0.6922770061657957
clip_gt_0.975,XGBoost,1.0687025196768452,1.3238561629881045,0.6897059435659934
clip_gt_0.975,Ridge,1.0962175543835284,1.3553816664441256,0.6747516758491212
clip_gt_0.975,ExtraTrees,1.1062274328695119,1.3920088471671914,0.6569354487678414
