id_str,negative_probability,sentiment_label
1480096113747120128,0.9964841604232788,negative
1485763122485161984,0.9964268803596497,negative
1481449423377174528,0.04421396180987358,neutral
1486991941023965185,0.9994720816612244,negative
1479421485781454853,0.023717062547802925,neutral
1478714043560984578,0.014726384542882442,positive
1487407473841831940,0.9447087049484253,negative
1479804376566968324,0.9984543323516846,negative
1486509434679431169,0.9488158226013184,negative
1478071419829305344,0.0034197147469967604,neutral
1483316300462321666,0.9799848794937134,negative
1484521517526716418,0.9984418749809265,negative
1483676582032338944,0.5710895657539368,negative
1486308748142735362,0.5093693733215332,negative
1478931774109478912,0.026673084124922752,neutral
1486368565360214016,0.9980747699737549,negative
1481286381146370062,0.6557657122612,negative
1484315343086825475,0.1748787760734558,positive
1480042213648187393,0.9941792488098145,negative
1488837023503106049,0.20665337145328522,positive
1488833415336296448,0.9965554475784302,negative
1493851013937504257,0.9945843815803528,negative
1497542349878362118,0.08394768089056015,positive
1496634233703759873,0.6322757601737976,negative
1492672710807535618,0.8117638230323792,negative
1492131363683979266,0.19610199332237244,neutral
1498433121469210624,0.998847484588623,negative
1488814521167020033,0.9978057742118835,negative
1496330081299734529,0.9984920024871826,negative
1488546630857261057,0.078728586435318,neutral
1489920010621710344,0.9973734617233276,negative
1488547569827397638,0.006047684699296951,neutral
1494577656242663425,0.9994186162948608,negative
1503304837139623937,0.08348453789949417,positive
1506478418166091778,0.001908975071273744,neutral
1509323828421619712,0.0017881675157696009,positive
1503389985499607046,0.05628196895122528,positive
1505025668882776069,0.919481098651886,negative
1506520954708512768,0.9717382192611694,negative
1502869471677284352,0.16023346781730652,positive
1504005354576773120,0.998819887638092,negative
1509034907254722562,0.003075592452660203,neutral
1504676479887884288,0.9829628467559814,negative
1505506566455574529,0.984302282333374,negative
1504765904566976513,0.8408538103103638,negative
1504405213259579399,0.9932089447975159,negative
1508959261308899328,0.9417588710784912,negative
1504986101303242753,0.017851056531071663,positive
1498543051631112194,0.2126806378364563,neutral
1499881169793564675,0.0011457951040938497,positive
1512732822272118786,0.9977322816848755,negative
1519662774422368258,0.020222600549459457,positive
1512271308520067073,0.9981491565704346,negative
1515599373471682566,0.999311089515686,negative
1516244339436908547,0.013302398845553398,neutral
1513130874266877959,0.998565137386322,negative
1510773324544032769,0.006089781876653433,neutral
1513878984924225539,0.004426989238709211,neutral
1513823678546563079,0.9636675119400024,negative
1517482745374650368,0.09489688277244568,positive
1517775467168038912,0.00956777110695839,positive
1514692853645021189,0.9888566136360168,negative
1511696981701586952,0.9943443536758423,negative
1515770376026193920,0.4093460440635681,positive
1516264968789712899,0.7662512063980103,negative
1516307748769906688,0.9991037249565125,negative
1519568206385532930,0.009210818447172642,positive
1513342514908233730,0.9952816367149353,negative
1511639453802332160,0.0010793117107823491,positive
1527138286329688064,0.571230947971344,negative
1526448740613365762,0.003081174800172448,positive
1526409004205101056,0.07366687059402466,positive
1529995523918135296,0.8060147166252136,negative
1522578400988172288,0.9564261436462402,negative
1530026231046934529,0.06405685096979141,positive
1524348900949184512,0.0008881743415258825,positive
1523855698236678145,0.0023187294136732817,neutral
1525391540197072896,0.9984003901481628,negative
1530131648544911361,0.87522953748703,negative
1523890704950251520,0.2948567867279053,positive
1531577587897896960,0.2568001449108124,neutral
1527163702545305600,0.16605950891971588,positive
1529754168470441984,0.9529208540916443,negative
1526168053142417410,0.03943067416548729,positive
1528569304232624128,0.01936272904276848,positive
1525640422520868864,0.9995137453079224,negative
1540601393760702464,0.9746230840682983,negative
1537319932979183616,0.9769819974899292,negative
1541758264534507525,0.13832645118236542,positive
1542024880937648128,0.12732550501823425,neutral
1538449563153240065,0.10239897668361664,neutral
1533277616957947905,0.000921676866710186,neutral
1535250143175647232,0.00149425002746284,neutral
1534009752669237249,0.14637289941310883,neutral
1539175180009807873,0.06065220385789871,positive
1536279587885563904,0.0028263465501368046,positive
1540917973753286656,0.0196017287671566,neutral
1537406338082676736,0.005901298485696316,positive
1534097208672329733,0.05990004539489746,positive
1532652704992198656,0.0313534177839756,positive
1545046685331558400,0.9903672933578491,negative
1546385352847663104,0.5248037576675415,negative
1551781200184119296,0.003986097872257233,positive
1546716756747571201,0.9986183643341064,negative
1542787596811931648,0.5821775794029236,negative
1548673807652900867,0.9768383502960205,negative
1549758291097530368,0.11157596856355667,positive
1552137380219723778,0.09771659225225449,positive
1547213519309131776,0.0066093141213059425,positive
