R,G,B,Rasa,,R,G,B,Rasa,,Label,n,probabilitas,,,,,,,,,,
92,124,0,Tawar,,119,109,34,Manis,,,,,,,,,,,,,,
104,125,5,Tawar,,120,104,46,Manis,,,,,,,,,,,,,,
93,116,52,Tawar,,121,152,16,Asam,,,,,,,,,,,,,,
96,123,31,Tawar,,122,88,38,Manis,,,,,,,,,,,,,,
75,82,29,Tawar,,123,96,23,Manis,,,,,,,,,,,,,,
81,102,42,Tawar,,123,91,38,Manis,,,,,,,,,,,,,,
99,141,13,Tawar,,125,103,65,Manis,,,,,,,,,,,,,,
104,141,56,Tawar,,125,105,46,Manis,,,,,,,,,,,,,,
110,154,10,Tawar,,126,89,39,Manis,,,,,,,,,,,,,,
91,59,33,Tawar,,127,107,40,Manis,,,,,,,,,,,,,,
107,167,13,Tawar,,130,95,14,Manis,,,,,,,,,,,,,,
103,127,9,Tawar,,132,106,46,Manis,,,,,,,,,,,,,,
104,141,56,Tawar,,135,80,28,Manis,,,,,,,,,,,,,,
110,154,10,Tawar,,137,112,73,Manis,,,,,,,,,,,,,,
99,141,13,Tawar,,141,144,64,Asam,,,,,,,,,,,,,,
70,107,23,Tawar,,153,110,24,Manis,,,,,,,,,,,,,,
92,133,5,Tawar,,156,152,96,Manis,,,,,,,,,,,,,,
79,112,18,Tawar,,174,162,102,Manis,,,,,,,,,,,,,,
115,133,25,Tawar,,175,152,110,Manis,,,,,,,,,,,,,,
